Seed,LAP N,Depression Strength,Strictness,Hold Off,Number of Corrupted Sources,Noise Level,Context,Metric,Value
128,25,0,0.8,0,1,0.25,Validation,Accuracy,0.6514400243759155
128,25,0,0.8,0,1,0.25,Validation,Top 2 Accuracy,0.8180800080299377
128,25,0,0.8,0,1,0.25,Test,Accuracy,0.6729999780654907
128,25,0,0.8,0,1,0.25,Test,Top 2 Accuracy,0.8342000246047974
128,25,1,0.8,0,1,0.25,Validation,Accuracy,0.6689599752426147
128,25,1,0.8,0,1,0.25,Validation,Top 2 Accuracy,0.8273599743843079
128,25,1,0.8,0,1,0.25,Test,Accuracy,0.6887000203132629
128,25,1,0.8,0,1,0.25,Test,Top 2 Accuracy,0.8446999788284302
128,25,0,0.8,0,1,0.5,Validation,Accuracy,0.6240800023078918
128,25,0,0.8,0,1,0.5,Validation,Top 2 Accuracy,0.7936000227928162
128,25,0,0.8,0,1,0.5,Test,Accuracy,0.6485999822616577
128,25,0,0.8,0,1,0.5,Test,Top 2 Accuracy,0.8212000131607056
128,25,1,0.8,0,1,0.5,Validation,Accuracy,0.6357600092887878
128,25,1,0.8,0,1,0.5,Validation,Top 2 Accuracy,0.8030400276184082
128,25,1,0.8,0,1,0.5,Test,Accuracy,0.6644999980926514
128,25,1,0.8,0,1,0.5,Test,Top 2 Accuracy,0.8317999839782715
128,25,0,0.8,0,1,0.75,Validation,Accuracy,0.6330400109291077
128,25,0,0.8,0,1,0.75,Validation,Top 2 Accuracy,0.8030400276184082
128,25,0,0.8,0,1,0.75,Test,Accuracy,0.6743000149726868
128,25,0,0.8,0,1,0.75,Test,Top 2 Accuracy,0.8381999731063843
128,25,1,0.8,0,1,0.75,Validation,Accuracy,0.6391199827194214
128,25,1,0.8,0,1,0.75,Validation,Top 2 Accuracy,0.7970399856567383
128,25,1,0.8,0,1,0.75,Test,Accuracy,0.677299976348877
128,25,1,0.8,0,1,0.75,Test,Top 2 Accuracy,0.8345999717712402
128,25,0,0.8,0,1,1.0,Validation,Accuracy,0.591920018196106
128,25,0,0.8,0,1,1.0,Validation,Top 2 Accuracy,0.7716799974441528
128,25,0,0.8,0,1,1.0,Test,Accuracy,0.6384999752044678
128,25,0,0.8,0,1,1.0,Test,Top 2 Accuracy,0.8137000203132629
128,25,1,0.8,0,1,1.0,Validation,Accuracy,0.6212000250816345
128,25,1,0.8,0,1,1.0,Validation,Top 2 Accuracy,0.7874400019645691
128,25,1,0.8,0,1,1.0,Test,Accuracy,0.6672999858856201
128,25,1,0.8,0,1,1.0,Test,Top 2 Accuracy,0.8357999920845032
128,25,0,0.8,0,2,0.25,Validation,Accuracy,0.6343200206756592
128,25,0,0.8,0,2,0.25,Validation,Top 2 Accuracy,0.7996799945831299
128,25,0,0.8,0,2,0.25,Test,Accuracy,0.6611999869346619
128,25,0,0.8,0,2,0.25,Test,Top 2 Accuracy,0.8240000009536743
128,25,1,0.8,0,2,0.25,Validation,Accuracy,0.6499199867248535
128,25,1,0.8,0,2,0.25,Validation,Top 2 Accuracy,0.8157600164413452
128,25,1,0.8,0,2,0.25,Test,Accuracy,0.6718999743461609
128,25,1,0.8,0,2,0.25,Test,Top 2 Accuracy,0.8425999879837036
128,25,0,0.8,0,2,0.5,Validation,Accuracy,0.6172800064086914
128,25,0,0.8,0,2,0.5,Validation,Top 2 Accuracy,0.789359986782074
128,25,0,0.8,0,2,0.5,Test,Accuracy,0.66839998960495
128,25,0,0.8,0,2,0.5,Test,Top 2 Accuracy,0.8356999754905701
128,25,1,0.8,0,2,0.5,Validation,Accuracy,0.6068000197410583
128,25,1,0.8,0,2,0.5,Validation,Top 2 Accuracy,0.7857599854469299
128,25,1,0.8,0,2,0.5,Test,Accuracy,0.6690999865531921
128,25,1,0.8,0,2,0.5,Test,Top 2 Accuracy,0.8348000049591064
128,25,0,0.8,0,2,0.75,Validation,Accuracy,0.5704799890518188
128,25,0,0.8,0,2,0.75,Validation,Top 2 Accuracy,0.7531200051307678
128,25,0,0.8,0,2,0.75,Test,Accuracy,0.6399000287055969
128,25,0,0.8,0,2,0.75,Test,Top 2 Accuracy,0.8169999718666077
128,25,1,0.8,0,2,0.75,Validation,Accuracy,0.5947999954223633
128,25,1,0.8,0,2,0.75,Validation,Top 2 Accuracy,0.7562400102615356
128,25,1,0.8,0,2,0.75,Test,Accuracy,0.6628999710083008
128,25,1,0.8,0,2,0.75,Test,Top 2 Accuracy,0.8270000219345093
128,25,0,0.8,0,2,1.0,Validation,Accuracy,0.5509600043296814
128,25,0,0.8,0,2,1.0,Validation,Top 2 Accuracy,0.7257599830627441
128,25,0,0.8,0,2,1.0,Test,Accuracy,0.63919997215271
128,25,0,0.8,0,2,1.0,Test,Top 2 Accuracy,0.8112999796867371
128,25,1,0.8,0,2,1.0,Validation,Accuracy,0.5617600083351135
128,25,1,0.8,0,2,1.0,Validation,Top 2 Accuracy,0.7333599925041199
128,25,1,0.8,0,2,1.0,Test,Accuracy,0.6643999814987183
128,25,1,0.8,0,2,1.0,Test,Top 2 Accuracy,0.8238000273704529
128,25,0,0.8,0,3,0.25,Validation,Accuracy,0.6227999925613403
128,25,0,0.8,0,3,0.25,Validation,Top 2 Accuracy,0.7915199995040894
128,25,0,0.8,0,3,0.25,Test,Accuracy,0.6554999947547913
128,25,0,0.8,0,3,0.25,Test,Top 2 Accuracy,0.821399986743927
128,25,1,0.8,0,3,0.25,Validation,Accuracy,0.6271200180053711
128,25,1,0.8,0,3,0.25,Validation,Top 2 Accuracy,0.789359986782074
128,25,1,0.8,0,3,0.25,Test,Accuracy,0.6675000190734863
128,25,1,0.8,0,3,0.25,Test,Top 2 Accuracy,0.824999988079071
128,25,0,0.8,0,3,0.5,Validation,Accuracy,0.5896000266075134
128,25,0,0.8,0,3,0.5,Validation,Top 2 Accuracy,0.7566400170326233
128,25,0,0.8,0,3,0.5,Test,Accuracy,0.659600019454956
128,25,0,0.8,0,3,0.5,Test,Top 2 Accuracy,0.820900022983551
128,25,1,0.8,0,3,0.5,Validation,Accuracy,0.5687999725341797
128,25,1,0.8,0,3,0.5,Validation,Top 2 Accuracy,0.7458400130271912
128,25,1,0.8,0,3,0.5,Test,Accuracy,0.6402000188827515
128,25,1,0.8,0,3,0.5,Test,Top 2 Accuracy,0.8147000074386597
128,25,0,0.8,0,3,0.75,Validation,Accuracy,0.5144799947738647
128,25,0,0.8,0,3,0.75,Validation,Top 2 Accuracy,0.6881600022315979
128,25,0,0.8,0,3,0.75,Test,Accuracy,0.5996999740600586
128,25,0,0.8,0,3,0.75,Test,Top 2 Accuracy,0.7886000275611877
128,25,1,0.8,0,3,0.75,Validation,Accuracy,0.5667999982833862
128,25,1,0.8,0,3,0.75,Validation,Top 2 Accuracy,0.7301599979400635
128,25,1,0.8,0,3,0.75,Test,Accuracy,0.6682999730110168
128,25,1,0.8,0,3,0.75,Test,Top 2 Accuracy,0.8339999914169312
128,25,0,0.8,0,3,1.0,Validation,Accuracy,0.4821600019931793
128,25,0,0.8,0,3,1.0,Validation,Top 2 Accuracy,0.6688799858093262
128,25,0,0.8,0,3,1.0,Test,Accuracy,0.6032999753952026
128,25,0,0.8,0,3,1.0,Test,Top 2 Accuracy,0.7939000129699707
128,25,1,0.8,0,3,1.0,Validation,Accuracy,0.5131999850273132
128,25,1,0.8,0,3,1.0,Validation,Top 2 Accuracy,0.6828799843788147
128,25,1,0.8,0,3,1.0,Test,Accuracy,0.6620000004768372
128,25,1,0.8,0,3,1.0,Test,Top 2 Accuracy,0.8252999782562256
128,25,0,0.8,0,4,0.25,Validation,Accuracy,0.5918400287628174
128,25,0,0.8,0,4,0.25,Validation,Top 2 Accuracy,0.7626399993896484
128,25,0,0.8,0,4,0.25,Test,Accuracy,0.6340000033378601
128,25,0,0.8,0,4,0.25,Test,Top 2 Accuracy,0.8126999735832214
128,25,1,0.8,0,4,0.25,Validation,Accuracy,0.5737599730491638
128,25,1,0.8,0,4,0.25,Validation,Top 2 Accuracy,0.7529600262641907
128,25,1,0.8,0,4,0.25,Test,Accuracy,0.6256999969482422
128,25,1,0.8,0,4,0.25,Test,Top 2 Accuracy,0.7998999953269958
128,25,0,0.8,0,4,0.5,Validation,Accuracy,0.5421599745750427
128,25,0,0.8,0,4,0.5,Validation,Top 2 Accuracy,0.7210400104522705
128,25,0,0.8,0,4,0.5,Test,Accuracy,0.6251000165939331
128,25,0,0.8,0,4,0.5,Test,Top 2 Accuracy,0.8070999979972839
128,25,1,0.8,0,4,0.5,Validation,Accuracy,0.5486400127410889
128,25,1,0.8,0,4,0.5,Validation,Top 2 Accuracy,0.7205600142478943
128,25,1,0.8,0,4,0.5,Test,Accuracy,0.6313999891281128
128,25,1,0.8,0,4,0.5,Test,Top 2 Accuracy,0.8046000003814697
128,25,0,0.8,0,4,0.75,Validation,Accuracy,0.4786399900913238
128,25,0,0.8,0,4,0.75,Validation,Top 2 Accuracy,0.6605600118637085
128,25,0,0.8,0,4,0.75,Test,Accuracy,0.5888000130653381
128,25,0,0.8,0,4,0.75,Test,Top 2 Accuracy,0.766700029373169
128,25,1,0.8,0,4,0.75,Validation,Accuracy,0.5257599949836731
128,25,1,0.8,0,4,0.75,Validation,Top 2 Accuracy,0.702239990234375
128,25,1,0.8,0,4,0.75,Test,Accuracy,0.661899983882904
128,25,1,0.8,0,4,0.75,Test,Top 2 Accuracy,0.8325999975204468
128,25,0,0.8,0,4,1.0,Validation,Accuracy,0.3970400094985962
128,25,0,0.8,0,4,1.0,Validation,Top 2 Accuracy,0.5867999792098999
128,25,0,0.8,0,4,1.0,Test,Accuracy,0.5250999927520752
128,25,0,0.8,0,4,1.0,Test,Top 2 Accuracy,0.7297000288963318
128,25,1,0.8,0,4,1.0,Validation,Accuracy,0.4381600022315979
128,25,1,0.8,0,4,1.0,Validation,Top 2 Accuracy,0.6059200167655945
128,25,1,0.8,0,4,1.0,Test,Accuracy,0.6114000082015991
128,25,1,0.8,0,4,1.0,Test,Top 2 Accuracy,0.7904999852180481
128,25,0,0.8,0,0,0.0,Validation,Accuracy,0.6851199865341187
128,25,0,0.8,0,0,0.0,Validation,Top 2 Accuracy,0.8356800079345703
128,25,0,0.8,0,0,0.0,Test,Accuracy,0.6771000027656555
128,25,0,0.8,0,0,0.0,Test,Top 2 Accuracy,0.8374999761581421
