source,metric,value,context,run,seed,corrupt_source,lap_n,depression_strength,strictness,hold_off,batch_size,noise_level,n_corrupt_sources
0.0,accuracy_score,0.8378243512974052,validation,1,2,False,25,1.0,0.8,0,64,0.5,4
0.0,recall_score,0.9033078880407125,validation,1,2,False,25,1.0,0.8,0,64,0.5,4
0.0,precision_score,0.7403545359749739,validation,1,2,False,25,1.0,0.8,0,64,0.5,4
0.0,f1_score,0.813753581661891,validation,1,2,False,25,1.0,0.8,0,64,0.5,4
1.0,accuracy_score,0.8078842315369261,validation,1,2,False,25,1.0,0.8,0,64,0.5,4
1.0,recall_score,0.838452787258248,validation,1,2,False,25,1.0,0.8,0,64,0.5,4
1.0,precision_score,0.7520408163265306,validation,1,2,False,25,1.0,0.8,0,64,0.5,4
1.0,f1_score,0.7928994082840238,validation,1,2,False,25,1.0,0.8,0,64,0.5,4
2.0,accuracy_score,0.8632734530938124,validation,1,2,False,25,1.0,0.8,0,64,0.5,4
2.0,recall_score,0.9769470404984424,validation,1,2,False,25,1.0,0.8,0,64,0.5,4
2.0,precision_score,0.8686980609418282,validation,1,2,False,25,1.0,0.8,0,64,0.5,4
2.0,f1_score,0.9196480938416423,validation,1,2,False,25,1.0,0.8,0,64,0.5,4
3.0,accuracy_score,0.7879241516966068,validation,1,2,False,25,1.0,0.8,0,64,0.5,4
3.0,recall_score,0.8692493946731235,validation,1,2,False,25,1.0,0.8,0,64,0.5,4
3.0,precision_score,0.693719806763285,validation,1,2,False,25,1.0,0.8,0,64,0.5,4
3.0,f1_score,0.7716281569048898,validation,1,2,False,25,1.0,0.8,0,64,0.5,4
4.0,accuracy_score,0.5144710578842315,validation,1,2,True,25,1.0,0.8,0,64,0.5,4
4.0,recall_score,0.4144672531769306,validation,1,2,True,25,1.0,0.8,0,64,0.5,4
4.0,precision_score,0.531328320802005,validation,1,2,True,25,1.0,0.8,0,64,0.5,4
4.0,f1_score,0.46567819879187256,validation,1,2,True,25,1.0,0.8,0,64,0.5,4
5.0,accuracy_score,0.8323353293413174,validation,1,2,False,25,1.0,0.8,0,64,0.5,4
5.0,recall_score,0.842391304347826,validation,1,2,False,25,1.0,0.8,0,64,0.5,4
5.0,precision_score,0.8022774327122153,validation,1,2,False,25,1.0,0.8,0,64,0.5,4
5.0,f1_score,0.8218451749734889,validation,1,2,False,25,1.0,0.8,0,64,0.5,4
6.0,accuracy_score,0.8198602794411177,validation,1,2,False,25,1.0,0.8,0,64,0.5,4
6.0,recall_score,0.834070796460177,validation,1,2,False,25,1.0,0.8,0,64,0.5,4
6.0,precision_score,0.7813471502590673,validation,1,2,False,25,1.0,0.8,0,64,0.5,4
6.0,f1_score,0.8068485821294811,validation,1,2,False,25,1.0,0.8,0,64,0.5,4
7.0,accuracy_score,0.4725548902195609,validation,1,2,True,25,1.0,0.8,0,64,0.5,4
7.0,recall_score,0.34908136482939633,validation,1,2,True,25,1.0,0.8,0,64,0.5,4
