Metric,Value,Corruption Type,Seed,LAP N,Depression Strength,Strictness,Hold Off,Number of Corrupted Sources,Corruption level
accuracy_source_0_corrupt_False_level_0,0.648538947,c_lbf,32,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_0_corrupt_False_level_0,0.806818187,c_lbf,32,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_1_corrupt_False_level_0,0.640625,c_lbf,32,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_1_corrupt_False_level_0,0.8125,c_lbf,32,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_2_corrupt_False_level_0,0.658593774,c_lbf,32,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_2_corrupt_False_level_0,0.825781226,c_lbf,32,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_3_corrupt_True_level_25,0.50390625,c_lbf,32,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_3_corrupt_True_level_25,0.646875024,c_lbf,32,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_4_corrupt_True_level_25,0.510156274,c_lbf,32,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_4_corrupt_True_level_25,0.660937488,c_lbf,32,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_5_corrupt_True_level_25,0.503125012,c_lbf,32,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_5_corrupt_True_level_25,0.647656262,c_lbf,32,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_6_corrupt_False_level_0,0.642968774,c_lbf,32,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_6_corrupt_False_level_0,0.81640625,c_lbf,32,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_7_corrupt_False_level_0,0.659375012,c_lbf,32,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_7_corrupt_False_level_0,0.826562524,c_lbf,32,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_8_corrupt_False_level_0,0.66015625,c_lbf,32,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_8_corrupt_False_level_0,0.805468738,c_lbf,32,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_9_corrupt_True_level_25,0.493750006,c_lbf,32,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_9_corrupt_True_level_25,0.630468726,c_lbf,32,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy,0.5914132,c_lbf,32,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy,0.747069061,c_lbf,32,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
test_accuracy,0.645299971,c_lbf,32,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
test_top_2_accuracy,0.814700007,c_lbf,32,1,1,0.8,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_0_corrupt_False_level_0,0.60633117,c_lbf,32,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_0_corrupt_False_level_0,0.773538947,c_lbf,32,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_1_corrupt_False_level_0,0.610243082,c_lbf,32,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_1_corrupt_False_level_0,0.779513896,c_lbf,32,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_2_corrupt_False_level_0,0.635156274,c_lbf,32,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_2_corrupt_False_level_0,0.797656238,c_lbf,32,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_3_corrupt_True_level_25,0.479687512,c_lbf,32,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_3_corrupt_True_level_25,0.625781238,c_lbf,32,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_4_corrupt_True_level_25,0.490624994,c_lbf,32,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_4_corrupt_True_level_25,0.635937512,c_lbf,32,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_5_corrupt_True_level_25,0.479687512,c_lbf,32,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_5_corrupt_True_level_25,0.620312512,c_lbf,32,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_6_corrupt_False_level_0,0.628125012,c_lbf,32,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_6_corrupt_False_level_0,0.798437476,c_lbf,32,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_7_corrupt_False_level_0,0.646875024,c_lbf,32,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_7_corrupt_False_level_0,0.800000012,c_lbf,32,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_8_corrupt_False_level_0,0.642968774,c_lbf,32,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_8_corrupt_False_level_0,0.796875,c_lbf,32,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_9_corrupt_True_level_25,0.486718744,c_lbf,32,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy_source_9_corrupt_True_level_25,0.624218762,c_lbf,32,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy,0.570104539,c_lbf,32,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
top_2_accuracy,0.724493027,c_lbf,32,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
test_accuracy,0.618099988,c_lbf,32,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
test_top_2_accuracy,0.793600023,c_lbf,32,25,1,0.2,0,4,"[0.25, 0.25, 0.25, 0.25]"
accuracy_source_0_corrupt_False_level_0,0.674512982,c_lbf,32,25,0.1,0.8,0,4,"[0.1, 0.1, 0.1, 0.1]"
top_2_accuracy_source_0_corrupt_False_level_0,0.83116883,c_lbf,32,25,0.1,0.8,0,4,"[0.1, 0.1, 0.1, 0.1]"
accuracy_source_1_corrupt_False_level_0,0.684027791,c_lbf,32,25,0.1,0.8,0,4,"[0.1, 0.1, 0.1, 0.1]"
