Run,Metric,Value
Conv3Net_100-c_cs_srb-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ne_40-seed_1024-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Accuracy,0.3167999982833862
Conv3Net_100-c_cs_srb-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ne_40-seed_1024-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.4413000047206878
Conv3Net_100-c_cs_srb-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ne_40-seed_1024-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 5 Accuracy,0.6245999932289124
Conv3Net_100-c_cs_srb-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ne_40-seed_128-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Accuracy,0.3061000108718872
Conv3Net_100-c_cs_srb-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ne_40-seed_128-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.4325000047683716
Conv3Net_100-c_cs_srb-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ne_40-seed_128-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 5 Accuracy,0.613099992275238
Conv3Net_100-c_cs_srb-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ne_40-seed_16-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Accuracy,0.3124000132083893
Conv3Net_100-c_cs_srb-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ne_40-seed_16-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.4411999881267547
Conv3Net_100-c_cs_srb-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ne_40-seed_16-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 5 Accuracy,0.6241000294685364
Conv3Net_100-c_cs_srb-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ne_40-seed_2-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Accuracy,0.3194999992847442
Conv3Net_100-c_cs_srb-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ne_40-seed_2-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.4485000073909759
Conv3Net_100-c_cs_srb-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ne_40-seed_2-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 5 Accuracy,0.6273999810218811
Conv3Net_100-c_cs_srb-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ne_40-seed_256-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Accuracy,0.3183999955654144
Conv3Net_100-c_cs_srb-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ne_40-seed_256-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.4399999976158142
Conv3Net_100-c_cs_srb-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ne_40-seed_256-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 5 Accuracy,0.6205000281333923
Conv3Net_100-c_cs_srb-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ne_40-seed_32-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Accuracy,0.3221000134944916
Conv3Net_100-c_cs_srb-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ne_40-seed_32-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.4456000030040741
Conv3Net_100-c_cs_srb-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ne_40-seed_32-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 5 Accuracy,0.623199999332428
Conv3Net_100-c_cs_srb-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ne_40-seed_4-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Accuracy,0.3075999915599823
Conv3Net_100-c_cs_srb-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ne_40-seed_4-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.4242999851703644
Conv3Net_100-c_cs_srb-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ne_40-seed_4-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 5 Accuracy,0.6015999913215637
Conv3Net_100-c_cs_srb-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ne_40-seed_512-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Accuracy,0.325899988412857
Conv3Net_100-c_cs_srb-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ne_40-seed_512-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.4512999951839447
Conv3Net_100-c_cs_srb-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ne_40-seed_512-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 5 Accuracy,0.628000020980835
Conv3Net_100-c_cs_srb-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ne_40-seed_64-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Accuracy,0.3332999944686889
Conv3Net_100-c_cs_srb-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ne_40-seed_64-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.4607999920845032
Conv3Net_100-c_cs_srb-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ne_40-seed_64-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 5 Accuracy,0.636900007724762
Conv3Net_100-c_cs_srb-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ne_40-seed_8-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Accuracy,0.3113999962806701
Conv3Net_100-c_cs_srb-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ne_40-seed_8-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.4352999925613403
Conv3Net_100-c_cs_srb-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ne_40-seed_8-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 5 Accuracy,0.614799976348877
