Run,Metric,Value
Conv3Net_100-c_no-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_1024-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Accuracy,0.3030999898910522
Conv3Net_100-c_no-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_1024-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.4205999970436096
Conv3Net_100-c_no-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_1024-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 5 Accuracy,0.5943999886512756
Conv3Net_100-c_no-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_128-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Accuracy,0.3095000088214874
Conv3Net_100-c_no-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_128-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.4381000101566314
Conv3Net_100-c_no-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_128-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 5 Accuracy,0.6123999953269958
Conv3Net_100-c_no-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_16-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Accuracy,0.3246000111103058
Conv3Net_100-c_no-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_16-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.4424999952316284
Conv3Net_100-c_no-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_16-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 5 Accuracy,0.6191999912261963
Conv3Net_100-c_no-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_2-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Accuracy,0.2980999946594238
Conv3Net_100-c_no-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_2-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.416700005531311
Conv3Net_100-c_no-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_2-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 5 Accuracy,0.5914000272750854
Conv3Net_100-c_no-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_256-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Accuracy,0.3007000088691711
