Run,Metric,Value
Conv3Net_100-c_ns-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_1024-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Accuracy,0.2727000117301941
Conv3Net_100-c_ns-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_1024-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.3889000117778778
Conv3Net_100-c_ns-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_1024-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 5 Accuracy,0.5618000030517578
Conv3Net_100-c_ns-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_128-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Accuracy,0.268200010061264
Conv3Net_100-c_ns-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_128-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.3837999999523163
Conv3Net_100-c_ns-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_128-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 5 Accuracy,0.5562999844551086
Conv3Net_100-c_ns-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_16-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Accuracy,0.2901999950408935
Conv3Net_100-c_ns-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_16-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.4032000005245209
Conv3Net_100-c_ns-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_16-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 5 Accuracy,0.5803999900817871
Conv3Net_100-c_ns-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_2-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Accuracy,0.2874999940395355
Conv3Net_100-c_ns-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_2-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.4043000042438507
Conv3Net_100-c_ns-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_2-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 5 Accuracy,0.5781999826431274
