Run,Metric,Value
Conv3Net_100-c_rl-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_1024-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Accuracy,0.2831000089645386
Conv3Net_100-c_rl-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_1024-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.3941999971866607
Conv3Net_100-c_rl-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_1024-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 5 Accuracy,0.5622000098228455
Conv3Net_100-c_rl-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_128-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Accuracy,0.2651999890804291
Conv3Net_100-c_rl-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_128-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.3695000112056732
Conv3Net_100-c_rl-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_128-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 5 Accuracy,0.5368000268936157
Conv3Net_100-c_rl-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_16-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Accuracy,0.2847000062465668
Conv3Net_100-c_rl-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_16-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.395000010728836
Conv3Net_100-c_rl-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_16-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 5 Accuracy,0.5683000087738037
Conv3Net_100-c_rl-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_2-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Accuracy,0.2721999883651733
Conv3Net_100-c_rl-drstd-ns_10-ncs_2-ssize_128-ds_0.0-stns_0.8-lap_n_25-ho_250-ne_40-seed_2-dataset_cifar100-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.38960000872612
