Run,Metric,Value
MLP-c_lbf-drstd-ns_10-ncs_4-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_16-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.8044999837875366
MLP-c_lbf-drstd-ns_10-ncs_4-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_16-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.9000999927520752
MLP-c_lbf-drstd-ns_10-ncs_4-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_2-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.772599995136261
MLP-c_lbf-drstd-ns_10-ncs_4-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_2-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.857699990272522
MLP-c_lbf-drstd-ns_10-ncs_4-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_32-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.7730000019073486
MLP-c_lbf-drstd-ns_10-ncs_4-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_32-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.8518999814987183
MLP-c_lbf-drstd-ns_10-ncs_4-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_4-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.7585999965667725
MLP-c_lbf-drstd-ns_10-ncs_4-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_4-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.8418999910354614
MLP-c_lbf-drstd-ns_10-ncs_4-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_8-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.8216000199317932
MLP-c_lbf-drstd-ns_10-ncs_4-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_8-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.9121999740600586
MLP-c_lbf-drstd-ns_10-ncs_4-ssize_200-ds_1.0-stns_0.8-lap_n_50-ne_40-seed_16-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.8118000030517578
MLP-c_lbf-drstd-ns_10-ncs_4-ssize_200-ds_1.0-stns_0.8-lap_n_50-ne_40-seed_16-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.9014999866485596
MLP-c_lbf-drstd-ns_10-ncs_4-ssize_200-ds_1.0-stns_0.8-lap_n_50-ne_40-seed_2-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.7781000137329102
MLP-c_lbf-drstd-ns_10-ncs_4-ssize_200-ds_1.0-stns_0.8-lap_n_50-ne_40-seed_2-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.8549000024795532
MLP-c_lbf-drstd-ns_10-ncs_4-ssize_200-ds_1.0-stns_0.8-lap_n_50-ne_40-seed_32-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.7767000198364258
MLP-c_lbf-drstd-ns_10-ncs_4-ssize_200-ds_1.0-stns_0.8-lap_n_50-ne_40-seed_32-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.8547000288963318
MLP-c_lbf-drstd-ns_10-ncs_4-ssize_200-ds_1.0-stns_0.8-lap_n_50-ne_40-seed_4-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.7597000002861023
MLP-c_lbf-drstd-ns_10-ncs_4-ssize_200-ds_1.0-stns_0.8-lap_n_50-ne_40-seed_4-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.8382999897003174
