Run,Metric,Value
MLP-c_lbf_srb-drstd-ns_10-ncs_4-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_16-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.7949000000953674
MLP-c_lbf_srb-drstd-ns_10-ncs_4-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_16-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.8579999804496765
MLP-c_lbf_srb-drstd-ns_10-ncs_4-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_2-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.8234999775886536
MLP-c_lbf_srb-drstd-ns_10-ncs_4-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_2-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.9038000106811525
MLP-c_lbf_srb-drstd-ns_10-ncs_4-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_32-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.776199996471405
MLP-c_lbf_srb-drstd-ns_10-ncs_4-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_32-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.8439000248908997
MLP-c_lbf_srb-drstd-ns_10-ncs_4-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_4-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.8276000022888184
MLP-c_lbf_srb-drstd-ns_10-ncs_4-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_4-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.9205999970436096
MLP-c_lbf_srb-drstd-ns_10-ncs_4-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_8-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.8228999972343445
MLP-c_lbf_srb-drstd-ns_10-ncs_4-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_8-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.9025999903678894
MLP-c_lbf_srb-drstd-ns_10-ncs_6-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_1024-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.8219000101089478
MLP-c_lbf_srb-drstd-ns_10-ncs_6-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_1024-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.9059000015258788
MLP-c_lbf_srb-drstd-ns_10-ncs_6-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_128-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.8144000172615051
MLP-c_lbf_srb-drstd-ns_10-ncs_6-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_128-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.9042999744415284
MLP-c_lbf_srb-drstd-ns_10-ncs_6-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_16-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.786899983882904
MLP-c_lbf_srb-drstd-ns_10-ncs_6-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_16-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.895799994468689
MLP-c_lbf_srb-drstd-ns_10-ncs_6-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_2-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.767799973487854
MLP-c_lbf_srb-drstd-ns_10-ncs_6-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_2-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.8410000205039978
MLP-c_lbf_srb-drstd-ns_10-ncs_6-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_256-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.8156999945640564
MLP-c_lbf_srb-drstd-ns_10-ncs_6-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_256-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.9064000248908995
MLP-c_lbf_srb-drstd-ns_10-ncs_6-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_32-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.7694000005722046
MLP-c_lbf_srb-drstd-ns_10-ncs_6-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_32-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.8500000238418579
MLP-c_lbf_srb-drstd-ns_10-ncs_6-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_4-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.8162000179290771
MLP-c_lbf_srb-drstd-ns_10-ncs_6-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_4-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.9052000045776368
MLP-c_lbf_srb-drstd-ns_10-ncs_6-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_512-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.8134999871253967
MLP-c_lbf_srb-drstd-ns_10-ncs_6-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_512-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.9018999934196472
MLP-c_lbf_srb-drstd-ns_10-ncs_6-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_64-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.7563999891281128
MLP-c_lbf_srb-drstd-ns_10-ncs_6-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_64-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.852400004863739
MLP-c_lbf_srb-drstd-ns_10-ncs_6-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_8-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.8133000135421753
MLP-c_lbf_srb-drstd-ns_10-ncs_6-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_8-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.9020000100135804
MLP-c_lbf_srb-drstd-ns_10-ncs_8-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_16-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.7853000164031982
MLP-c_lbf_srb-drstd-ns_10-ncs_8-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_16-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.8626999855041504
MLP-c_lbf_srb-drstd-ns_10-ncs_8-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_2-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.7842000126838684
