Run,Metric,Value
MLP-no_c-drstd-ns_10-ncs_0-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_1024-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.8337000012397766
MLP-no_c-drstd-ns_10-ncs_0-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_1024-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.9244999885559082
MLP-no_c-drstd-ns_10-ncs_0-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_128-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.8299000263214111
MLP-no_c-drstd-ns_10-ncs_0-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_128-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.9065999984741212
MLP-no_c-drstd-ns_10-ncs_0-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_16-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.8273000121116638
MLP-no_c-drstd-ns_10-ncs_0-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_16-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.9077000021934508
MLP-no_c-drstd-ns_10-ncs_0-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_2-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.8337000012397766
MLP-no_c-drstd-ns_10-ncs_0-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_2-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.9045000076293944
MLP-no_c-drstd-ns_10-ncs_0-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_256-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.8339999914169312
MLP-no_c-drstd-ns_10-ncs_0-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_256-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.9204999804496764
MLP-no_c-drstd-ns_10-ncs_0-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_32-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.7867000102996826
MLP-no_c-drstd-ns_10-ncs_0-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_32-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.8525000214576721
MLP-no_c-drstd-ns_10-ncs_0-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_4-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.8339999914169312
MLP-no_c-drstd-ns_10-ncs_0-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_4-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.9240999817848206
MLP-no_c-drstd-ns_10-ncs_0-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_512-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.8345999717712402
MLP-no_c-drstd-ns_10-ncs_0-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_512-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.9085999727249146
MLP-no_c-drstd-ns_10-ncs_0-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_64-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.8410000205039978
MLP-no_c-drstd-ns_10-ncs_0-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_64-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.925100028514862
MLP-no_c-drstd-ns_10-ncs_0-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_8-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.8307999968528748
MLP-no_c-drstd-ns_10-ncs_0-ssize_200-ds_0.0-stns_0.8-lap_n_50-ne_40-seed_8-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Top 2 Accuracy,0.9100000262260436
MLP-no_c-drstd-ns_10-ncs_0-ssize_200-ds_1.0-stns_0.8-lap_n_50-ne_40-seed_1024-dataset_fmnist-epoch_40-all_trained-state_dict.pth,Accuracy,0.8337000012397766
